Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,repair_reason,migration_hint
da,Livere,http://samla.raa.se/xmlui/bitstream/handle/raa/1396/1944_146.pdf?sequence=1,https://da.wikipedia.org/wiki/Livere,raa.se,da,dansk,samla.raa.se,,1944,True,404.0,,0.071283,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1944_146.pdf%3Fsequence%3D1
da,Josef Svennung,http://samla.raa.se/xmlui/bitstream/handle/raa/1914/1962_193.pdf?sequence=1,https://da.wikipedia.org/wiki/Josef_Svennung,raa.se,da,dansk,samla.raa.se,,1914,True,404.0,,0.075274,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1962_193.pdf%3Fsequence%3D1
da,Josef Svennung,http://samla.raa.se/xmlui/bitstream/handle/raa/1955/1964_001.pdf?sequence=1,https://da.wikipedia.org/wiki/Josef_Svennung,raa.se,da,dansk,samla.raa.se,,1955,True,404.0,,0.073532,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1964_001.pdf%3Fsequence%3D1
da,Josef Svennung,http://samla.raa.se/xmlui/bitstream/handle/raa/1959/1964_065.pdf?sequence=1,https://da.wikipedia.org/wiki/Josef_Svennung,raa.se,da,dansk,samla.raa.se,,1959,True,404.0,,0.07101,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1964_065.pdf%3Fsequence%3D1
da,Josef Svennung,http://samla.raa.se/xmlui/bitstream/handle/raa/1972/1965_001_kompr.pdf?sequence=1,https://da.wikipedia.org/wiki/Josef_Svennung,raa.se,da,dansk,samla.raa.se,,1972,True,404.0,,0.166791,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1965_001_kompr.pdf%3Fsequence%3D1
da,Scandza,http://samla.raa.se/xmlui/bitstream/handle/raa/1914/1962_193.pdf?sequence=1,https://da.wikipedia.org/wiki/Scandza,raa.se,da,dansk,samla.raa.se,,1914,True,404.0,,0.073922,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1962_193.pdf%3Fsequence%3D1
da,Scandza,http://samla.raa.se/xmlui/bitstream/handle/raa/1955/1964_001.pdf?sequence=1,https://da.wikipedia.org/wiki/Scandza,raa.se,da,dansk,samla.raa.se,,1955,True,404.0,,0.072018,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1964_001.pdf%3Fsequence%3D1
da,Scandza,http://samla.raa.se/xmlui/bitstream/handle/raa/1959/1964_065.pdf?sequence=1,https://da.wikipedia.org/wiki/Scandza,raa.se,da,dansk,samla.raa.se,,1959,True,404.0,,0.072047,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1964_065.pdf%3Fsequence%3D1
da,Scandza,http://samla.raa.se/xmlui/bitstream/handle/raa/1972/1965_001_kompr.pdf?sequence=1,https://da.wikipedia.org/wiki/Scandza,raa.se,da,dansk,samla.raa.se,,1972,True,404.0,,0.076063,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1965_001_kompr.pdf%3Fsequence%3D1
da,Josef Svennung,http://samla.raa.se/xmlui/bitstream/handle/raa/1994/1966_219.pdf?sequence=1,https://da.wikipedia.org/wiki/Josef_Svennung,raa.se,da,dansk,samla.raa.se,,1994,True,404.0,,0.072437,True,RAA DSpace XMLUI migration,https://samla.raa.se/discover?query=1966_219.pdf%3Fsequence%3D1
